Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Immediate_Cause_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S002979    ,Sant Andreu,Sant Andreu,Santa Coloma,Friday,2023,5,May,19,14,Afternoon,Manca precaució incorporació circulació,432437.97,4588710.74,2.190070717,41.4452852,2023-05-19 14:00:00
2023S006407    ,Sant Andreu,Sant Andreu,Santa Coloma,Diumenge,2023,10,October,29,14,Afternoon,Lack of driving attention,432510.99,4588703.22,2.190945617,41.445223615,2023-10-29 14:00:00
2023S002167    ,Sant Andreu,la Sagrera,Gran de la Sagrera,Diumenge,2023,4,April,16,10,Morning,Ignoring traffic light,432508.78,4585577.91,2.191268323,41.417074769,2023-04-16 10:00:00
2023S001535    ,Sant Andreu,Sant Andreu,Doctor Santponç,Friday,2023,3,March,17,11,Morning,No cedir la dreta,432544.56,4587196.86,2.191515718,41.431659155,2023-03-17 11:00:00
2023S002418    ,Sant Andreu,la Sagrera,Gran de la Sagrera,Dimarts,2023,4,April,25,21,Afternoon,Lack of driving attention,432496.15,4585857.1,2.191086029,41.419588288,2023-04-25 21:00:00
2023S003477    ,Sant Andreu,la Sagrera,Berenguer de Palou,Diumenge,2023,6,June,11,11,Morning,Gir indegut o sense precaució,432550.79,4586630.91,2.191653459,41.426562347,2023-06-11 11:00:00
2023S002605    ,Sant Andreu,la Sagrera,Hondures,Dimecres,2023,5,May,3,14,Afternoon,Altres,432187.89,4586085.54,2.187371941,41.421619803,2023-05-03 14:00:00
2023S005326    ,Sant Andreu,la Sagrera,Meridiana,Thursday,2023,9,September,7,21,Afternoon,Ignoring traffic light,432112.31,4586107.41,2.186465111,41.421810393,2023-09-07 21:00:00
2023S002043    ,Sant Andreu,Sant Andreu,Segre,Dimarts,2023,4,April,11,14,Afternoon,Lack of driving attention,432607.67,4587457.23,2.192241947,41.434009525,2023-04-11 14:00:00
2023S001966    ,Sant Andreu,Sant Andreu,Dalt (Besòs),Thursday,2023,4,April,6,7,Morning,Gir indegut o sense precaució,432477.29,4588892.56,2.190521045,41.446926099,2023-04-06 07:00:00
