Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Day_Type,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model,Vehicle_Brand,Vehicle_Color,License_Description,License_Age,Coordenada_UTM_X,Coordenada_UTM_Y,Latitud,Longitud
2020S000582    ,Eixample,la Dreta de l'Eixample,Corts Catalanes,Saturday,Working Day,2020,1,January,25,13,Morning,Not the pedestrian’s fault,Car,GRAND ESPACE,RENAULT,Gray,B,22,430942.6,4582939.19,41.393175526,2.17283033
2020S000582    ,Eixample,la Dreta de l'Eixample,Corts Catalanes,Saturday,Working Day,2020,1,January,25,13,Morning,Not the pedestrian’s fault,Car,TOYOTA RAV4,TOYOTA,Black,B,1,430942.6,4582939.19,41.393175526,2.17283033
2020S000582    ,Eixample,la Dreta de l'Eixample,Corts Catalanes,Saturday,Working Day,2020,1,January,25,13,Morning,Not the pedestrian’s fault,Taxi,LEON ST,SEAT,Black/Yellow,B,32,430942.6,4582939.19,41.393175526,2.17283033
2020S000583    ,Eixample,el Fort Pienc,Corts Catalanes,Saturday,Working Day,2020,1,January,25,14,Afternoon,Not the pedestrian’s fault,Motorcycle,HW 125,YAMAHA,White,A1,32,431857.14,4583752.58,41.400579551,2.18367714
2020S000583    ,Eixample,el Fort Pienc,Corts Catalanes,Saturday,Working Day,2020,1,January,25,14,Afternoon,Not the pedestrian’s fault,Car,GOLF 1.9,VOLKSWAGEN,Gray,B,5,431857.14,4583752.58,41.400579551,2.18367714
2020S000584    ,Sants-Montjuïc,Sants - Badal,Sants,Saturday,Working Day,2020,1,January,25,17,Afternoon,Not the pedestrian’s fault,Motorcycle,UH 125,SUZUKI,Blue,B,5,427283.45,4581005.83,41.375439812,2.12929749
2020S000584    ,Sants-Montjuïc,Sants - Badal,Sants,Saturday,Working Day,2020,1,January,25,17,Afternoon,Not the pedestrian’s fault,Car,TOYOTA PRIUS,TOYOTA,Black/Yellow,B,13,427283.45,4581005.83,41.375439812,2.12929749
2020S000585    ,Eixample,la Dreta de l'Eixample,Diputació,Saturday,Working Day,2020,1,January,25,18,Afternoon,Not the pedestrian’s fault,Moped,BS4 (ARK),BETA,Gray,B,5,430680.32,4582841.24,41.392270744,2.16970455
2020S000585    ,Eixample,la Dreta de l'Eixample,Diputació,Saturday,Working Day,2020,1,January,25,18,Afternoon,Not the pedestrian’s fault,Car,S-MAX 2.0,FORD,Gray,B,35,430680.32,4582841.24,41.392270744,2.16970455
2020S000586    ,Sant Martí,el Clot,Clot,Saturday,Working Day,2020,1,January,25,19,Afternoon,Not the pedestrian’s fault,Motorcycle,CBR 600 F,HONDA,Unknown,A,33,432493.41,4585359.59,41.415107134,2.19110879
