Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Date,Day_Type_Description,Year,Month_of_Year,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type_Description,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2020S004486    ,Eixample,la Dreta de l'Eixample,Diagonal,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Car,Female,53,Driver,Unknown,Unknown,Leisure and entertainment,Uninjured,430948.38,4583654.04,2.1728179,41.399614455
2020S004487    ,Sants-Montjuďc,la Marina de Port,Zona Franca,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,16:00:00,Unknown,Car,Female,51,Driver,Unknown,Unknown,Taxi,Unknown,428110.61,4579288.7,2.13939165,41.360048566
2020S004487    ,Sants-Montjuďc,la Marina de Port,Zona Franca,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,16:00:00,Unknown,Car,Male,55,Driver,Unknown,Unknown,Unknown,Unknown,428110.61,4579288.7,2.13939165,41.360048566
2020S004488    ,Les Corts,la Maternitat i Sant Ramon,Diagonal,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Car,Female,62,Driver,Unknown,Unknown,In transit (commuting),Uninjured,426848.13,4582296.78,2.12393639,41.387027408
2020S004488    ,Les Corts,la Maternitat i Sant Ramon,Diagonal,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Motorcycle,Male,23,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,426848.13,4582296.78,2.12393639,41.387027408
2020S004489    ,Les Corts,Pedralbes,Dalt (Besňs),Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Motorcycle,Male,45,Driver,Unknown,Unknown,In transit (commuting),Minor injury: Hospitalization up to 24 hours,425648.78,4583019.77,2.10950432,41.393429037
2020S004489    ,Les Corts,Pedralbes,Dalt (Besňs),Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Car,Male,45,Driver,Unknown,Unknown,Unknown,Uninjured,425648.78,4583019.77,2.10950432,41.393429037
2020S004489    ,Les Corts,Pedralbes,Dalt (Besňs),Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Car,Male,47,Driver,Unknown,Unknown,Unknown,Uninjured,425648.78,4583019.77,2.10950432,41.393429037
2020S004490    ,Sarriŕ-Sant Gervasi,el Putxet i el Farró,General Mitre,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Motorcycle,Female,25,Driver,Unknown,Unknown,Unknown,Uninjured,428852.95,4584342.97,2.14767208,41.405636604
2020S004490    ,Sarriŕ-Sant Gervasi,el Putxet i el Farró,General Mitre,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Motorcycle,Female,50,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428852.95,4584342.97,2.14767208,41.405636604
2020S004491    ,Sants-Montjuďc,Hostafrancs,Bordeta,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,13:00:00,Unknown,Car,Male,29,Driver,Unknown,Unknown,Unknown,Uninjured,428798.8,4580840.67,2.14743621,41.374087845
2020S004491    ,Sants-Montjuďc,Hostafrancs,Bordeta,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,13:00:00,Unknown,Motorcycle,Male,30,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428798.8,4580840.67,2.14743621,41.374087845
2020S004492    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Motorcycle,Female,27,Driver,Unknown,Unknown,In transit (commuting),Minor injury: Hospitalization up to 24 hours,429002.19,4583024.82,2.14961207,41.393777714
2020S004492    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Taxi,Male,43,Driver,Unknown,Unknown,Taxi,Uninjured,429002.19,4583024.82,2.14961207,41.393777714
2020S004493    ,Ciutat Vella,el Raval,Drassanes,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Motorcycle,Male,56,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431192.91,4581025.01,2.17604168,41.375956516
2020S004493    ,Ciutat Vella,el Raval,Drassanes,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Car,Male,20,Driver,Unknown,Unknown,Leisure and entertainment,Uninjured,431192.91,4581025.01,2.17604168,41.375956516
2020S004494    ,Eixample,la Dreta de l'Eixample,Rosselló,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,18:00:00,Unknown,Motorcycle,Male,64,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,430481.09,4583769.91,2.16721501,41.40061777
2020S004494    ,Eixample,la Dreta de l'Eixample,Rosselló,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,18:00:00,Unknown,Motorcycle,Male,34,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,430481.09,4583769.91,2.16721501,41.40061777
2020S004495    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Isabel II,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,20:00:00,Unknown,Motorcycle,Male,19,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431742.93,4581619.47,2.1825515,41.381357531
2020S004495    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Isabel II,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,20:00:00,Unknown,Car,Female,46,Driver,Unknown,Unknown,Leisure and entertainment,Uninjured,431742.93,4581619.47,2.1825515,41.381357531
2020S004496    ,Sants-Montjuďc,el Poble-sec,Paralˇlel,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,20:00:00,Unknown,Motorcycle,Male,36,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429521.66,4580914.56,2.15607083,41.374817013
2020S004496    ,Sants-Montjuďc,el Poble-sec,Paralˇlel,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,20:00:00,Unknown,Car,Male,56,Driver,Unknown,Unknown,Unknown,Uninjured,429521.66,4580914.56,2.15607083,41.374817013
2020S004497    ,Ciutat Vella,el Raval,Portal de la Pau,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,18:00:00,Unknown,Autobús,Male,52,Driver,Unknown,Unknown,Urban bus,Uninjured,431229.39,4581076.77,2.17647201,41.376425825
2020S004497    ,Ciutat Vella,el Raval,Portal de la Pau,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,18:00:00,Unknown,Autobús,Female,71,Passenger,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431229.39,4581076.77,2.17647201,41.376425825
2020S004498    ,Sant Martí,la Verneda i la Pau,Ca n'Oliva,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Car,Female,32,Driver,Unknown,Unknown,Leisure and entertainment,Uninjured,433790.77,4586202.07,2.20653895,41.422803123
2020S004498    ,Sant Martí,la Verneda i la Pau,Ca n'Oliva,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,17:00:00,Unknown,Car,Male,44,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,433790.77,4586202.07,2.20653895,41.422803123
2020S004499    ,Eixample,la Dreta de l'Eixample,Aragó,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,20:00:00,Unknown,Car,Male,52,Driver,Unknown,Unknown,Other activities,Uninjured,430414.02,4582990.45,2.16650235,41.393591622
2020S004499    ,Eixample,la Dreta de l'Eixample,Aragó,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,20:00:00,Unknown,Motorcycle,Male,43,Driver,Unknown,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,430414.02,4582990.45,2.16650235,41.393591622
2020S004500    ,Nou Barris,Can Peguera,Urrutia,Wednesday,2020-09-30,Laboral,2020,9,September,30,Night,01:00:00,Unknown,Car,Male,45,Driver,Unknown,Unknown,Unknown,Uninjured,430430.05,4587665.61,2.16615614,41.435700528
2020S004501    ,Sarriŕ-Sant Gervasi,Sant Gervasi - Galvany,General Mitre,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,07:00:00,Unknown,Motorcycle,Male,43,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,427655.06,4583522.62,2.13344018,41.39814108
2020S004501    ,Sarriŕ-Sant Gervasi,Sant Gervasi - Galvany,General Mitre,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,07:00:00,Unknown,Car,Male,38,Driver,Unknown,Unknown,Unknown,Uninjured,427655.06,4583522.62,2.13344018,41.39814108
2020S004502    ,Sant Martí,la Verneda i la Pau,Cantŕbria,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,08:00:00,Unknown,Motorcycle,Male,48,Driver,Unknown,Unknown,In transit (commuting),Minor injury: Hospitalization up to 24 hours,433245.67,4586412.35,2.19999303,41.424651921
2020S004502    ,Sant Martí,la Verneda i la Pau,Cantŕbria,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,08:00:00,Unknown,Car,Male,65,Driver,Unknown,Unknown,Unknown,Uninjured,433245.67,4586412.35,2.19999303,41.424651921
2020S004502    ,Sant Martí,la Verneda i la Pau,Cantŕbria,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,08:00:00,Unknown,Car,Female,34,Passenger,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433245.67,4586412.35,2.19999303,41.424651921
2020S004503    ,Sants-Montjuďc,Sants,Brasil,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,09:00:00,Unknown,Furgoneta,Male,57,Driver,Unknown,Unknown,Unknown,Uninjured,427362.69,4581195.28,2.13022226,41.377153277
2020S004503    ,Sants-Montjuďc,Sants,Brasil,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,09:00:00,Unknown,Car,Female,29,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,427362.69,4581195.28,2.13022226,41.377153277
