Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Driver_Cause_Description,Shift_Description,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud,datetime
2020S003044    ,Sant Martí,Provençals del Poblenou,Bilbao,Thursday,2020,7,July,9,15,Disobeying traffic lights,Afternoon,433090.05,4584419.2,2.19945446447,41.408535709023,2020-07-09 15:00:00
2020S002915    ,Sant Martí,Provençals del Poblenou,Bilbao,Friday,2020,7,July,3,1,Disobeying traffic lights,Night,433090.05,4584419.2,2.19945446447,41.408535709023,2020-07-03 01:00:00
2020S002771    ,Sant Martí,el Besòs i el Maresme,Pallars,Friday,2020,6,June,26,10,Others,Morning,434311.72,4585043.48,2.21400205478661,41.4142592043129,2020-06-26 10:00:00
2020S004592    ,Sant Martí,Provençals del Poblenou,Josep Pla,Saturday,2020,10,October,3,21,Changing lanes without caution,Afternoon,434202.49,4585024.3,2.21269725953714,41.4140775194626,2020-10-03 21:00:00
2020S002090    ,Sant Martí,Provençals del Poblenou,Veneçuela,Thursday,2020,4,April,30,7,Disobeying traffic lights,Morning,434327.3,4584123.76,2.2142882801424,41.405976792618,2020-04-30 07:00:00
2020S001826    ,Sant Martí,el Besòs i el Maresme,Bernat Metge,Tuesday,2020,3,March,10,18,Not determined,Afternoon,434222.26,4585930.3,2.21283527011041,41.4222392362115,2020-03-10 18:00:00
2020S000067    ,Sant Martí,el Besòs i el Maresme,C-31,Saturday,2020,1,January,4,21,Lack of attention while driving,Afternoon,433942.83,4585841.27,2.20950135033383,41.4214144420665,2020-01-04 21:00:00
2020S000962    ,Sant Martí,el Poblenou,Calvell,Saturday,2020,2,February,8,11,Lack of attention while driving,Morning,433878.14,4583613.86,2.20897069607077,41.4013474337286,2020-02-08 11:00:00
2020S004635    ,Sant Martí,el Poblenou,Marítim de la Mar Bella,Monday,2020,10,October,5,20,Not yielding to the right,Afternoon,433778.66,4583067.64,2.20784044899995,41.3964195791562,2020-10-05 20:00:00
2020S001285    ,Sant Martí,el Poblenou,Litoral (Besòs),Thursday,2020,2,February,20,6,Not respecting distances,Morning,433600.12,4582986.31,2.20571381484544,41.3956723376404,2020-02-20 06:00:00
2020S000931    ,Sant Martí,el Poblenou,Litoral (Besòs),Friday,2020,2,February,7,6,Lack of attention while driving,Morning,433600.12,4582986.31,2.20571381484544,41.3956723376404,2020-02-07 06:00:00
2020S002031    ,Sant Martí,el Poblenou,Litoral (Llobregat),Tuesday,2020,3,March,10,6,Not respecting distances,Morning,433970.87,4583525.55,2.21008957471056,41.4005596682359,2020-03-10 06:00:00
2020S003795    ,Sant Martí,el Poblenou,Litoral (Llobregat),Monday,2020,8,August,24,14,Not respecting distances,Afternoon,433776.65,4583174.38,2.20780473299534,41.3973807944946,2020-08-24 14:00:00
2020S000729    ,Sant Martí,el Poblenou,Litoral (Llobregat),Thursday,2020,1,January,30,19,Improper/defective overtaking,Afternoon,433777.75,4583199.54,2.207815138766,41.397607494978,2020-01-30 19:00:00
2020S006160    ,Sant Martí,el Poblenou,Taulat,Monday,2020,12,December,21,12,Lack of attention while driving,Morning,433705.32,4583618.63,2.20690288261001,41.4013761645958,2020-12-21 12:00:00
2020S001292    ,Sant Martí,Provençals del Poblenou,Pere IV,Thursday,2020,2,February,20,11,Lack of attention while driving,Morning,433769.13,4585279.28,2.20748443194014,41.4163384566054,2020-02-20 11:00:00
2020S005305    ,Sant Martí,Provençals del Poblenou,Bac de Roda,Thursday,2020,11,November,12,13,Disobeying traffic lights,Morning,433186.49,4584891.95,2.20055601413956,41.4128016560073,2020-11-12 13:00:00
2020S002301    ,Sant Martí,el Poblenou,Llacuna,Tuesday,2020,5,May,26,11,Changing lanes without caution,Morning,433778.05,4583139.0,2.20782534836241,41.3970622508699,2020-05-26 11:00:00
2020S002091    ,Sant Martí,el Poblenou,Ramon Turró,Thursday,2020,4,April,30,10,Lack of attention while driving,Morning,433313.74,4583526.83,2.20222887596464,41.4005169632232,2020-04-30 10:00:00
2020S005544    ,Sant Martí,el Poblenou,Badajoz,Tuesday,2020,11,November,24,22,Lack of attention while driving,Night,433020.03,4583323.92,2.19873798580818,41.3986649939416,2020-11-24 22:00:00
2020S003185    ,Sant Martí,Provençals del Poblenou,C-31,Wednesday,2020,7,July,15,14,Others,Afternoon,432785.02,4584779.01,2.19576530296817,41.4117509631031,2020-07-15 14:00:00
2020S002817    ,Sant Martí,Provençals del Poblenou,Lope de Vega,Monday,2020,6,June,29,12,Lack of attention while driving,Morning,432854.94,4584641.21,2.19661711624843,41.4105156833127,2020-06-29 12:00:00
2020S004835    ,Sant Martí,Provençals del Poblenou,Pere IV,Thursday,2020,10,October,15,7,Improper or careless turn,Morning,433552.23,4584902.1,2.20493068431774,41.41292339631,2020-10-15 07:00:00
2020S005455    ,Sant Martí,Provençals del Poblenou,C-31,Thursday,2020,11,November,19,18,Changing lanes without caution,Afternoon,433010.8,4584901.86,2.19845292972931,41.412876287548,2020-11-19 18:00:00
2020S003618    ,Sant Martí,Provençals del Poblenou,C-31,Sunday,2020,8,August,9,20,Improper or careless turn,Afternoon,433081.87,4584996.69,2.19929273623583,41.4137363144781,2020-08-09 20:00:00
2020S006076    ,Sant Martí,Provençals del Poblenou,C-31,Friday,2020,12,December,18,17,Lack of attention while driving,Afternoon,433509.45,4585389.78,2.20436525373335,41.4173122541025,2020-12-18 17:00:00
2020S005516    ,Sant Martí,Provençals del Poblenou,C-31,Tuesday,2020,11,November,24,8,Others,Morning,433503.29,4585478.83,2.20428175944472,41.4181137921701,2020-11-24 08:00:00
2020S004296    ,Sant Martí,Provençals del Poblenou,Espronceda,Sunday,2020,9,September,20,0,Disobeying traffic lights,Night,433279.17,4584604.95,2.20169650301365,41.4102244276781,2020-09-20 00:00:00
2020S004593    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Taulat,Saturday,2020,10,October,3,22,Lack of attention while driving,Night,434095.82,4584048.78,2.2115272567039,41.4052825226546,2020-10-03 22:00:00
2020S000866    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Josep Pla,Tuesday,2020,1,January,14,16,Not determined,Afternoon,434419.1,4584784.71,2.21531485197057,41.4119372989321,2020-01-14 16:00:00
2020S003841    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Bac de Roda,Thursday,2020,8,August,27,17,Improper or careless turn,Afternoon,433570.71,4584516.23,2.20519414689582,41.409449498927,2020-08-27 17:00:00
2020S005811    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Bac de Roda,Sunday,2020,12,December,6,11,Lack of attention while driving,Morning,434185.03,4583867.82,2.2126141385565,41.4036599693642,2020-12-06 11:00:00
2020S005668    ,Sant Martí,el Poblenou,Pere IV,Tuesday,2020,12,December,1,9,Disobeying other signals,Morning,433319.26,4584452.06,2.20219297603095,41.4088507169604,2020-12-01 09:00:00
2020S001875    ,Sant Martí,el Poblenou,Antic de València,Thursday,2020,3,March,12,8,Lack of attention while driving,Morning,433278.27,4584159.85,2.20173480990433,41.4062154608558,2020-03-12 08:00:00
2020S004824    ,Sant Martí,el Poblenou,Bilbao,Wednesday,2020,10,October,14,17,Disobeying traffic lights,Afternoon,433370.98,4584134.24,2.20284671754544,41.4059924881585,2020-10-14 17:00:00
2020S000717    ,Sant Martí,el Parc i la Llacuna del Poblenou,Pujades,Thursday,2020,1,January,30,15,Improper or careless turn,Afternoon,432610.79,4583198.24,2.19385681784489,41.3974988356495,2020-01-30 15:00:00
2020S006235    ,Sant Martí,el Poblenou,Bilbao,Tuesday,2020,12,December,29,8,Improper or careless turn,Morning,433127.53,4584347.37,2.19991079022495,41.4078918754463,2020-12-29 08:00:00
2020S002746    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat),Wednesday,2020,6,June,24,14,Not respecting distances,Afternoon,434723.77,4584307.91,2.21901138227711,41.4076676796166,2020-06-24 14:00:00
2020S001593    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat),Tuesday,2020,3,March,3,7,Lack of attention while driving,Morning,434156.16,4583766.36,2.21227981635919,41.4027437802168,2020-03-03 07:00:00
2020S001632    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Selva de Mar,Wednesday,2020,3,March,4,13,Lack of precaution entering traffic,Morning,434223.9,4584407.27,2.21302049514207,41.4085218420182,2020-03-04 13:00:00
2020S005282    ,Sant Martí,el Parc i la Llacuna del Poblenou,Diagonal,Wednesday,2020,11,November,11,11,Improper or careless turn,Morning,432645.36,4584244.85,2.19415386950129,41.4069282502748,2020-11-11 11:00:00
2020S000942    ,Sant Martí,el Parc i la Llacuna del Poblenou,Diagonal,Friday,2020,2,February,7,13,Disobeying traffic lights,Morning,432583.89,4584179.92,2.19342573117514,41.4063382919209,2020-02-07 13:00:00
2020S003751    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària,Thursday,2020,8,August,20,17,Lack of attention while driving,Afternoon,433921.82,4583636.67,2.2094907112817,41.4015564687568,2020-08-20 17:00:00
2020S000061    ,Ciutat Vella,el Raval,Rambla,Saturday,2020,1,January,4,19,Unknown,Afternoon,431090.32,4581379.45,2.17587689349831,41.3809886898844,2020-01-04 19:00:00
2020S001499    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Bac de Roda,Thursday,2020,2,February,27,18,Unknown,Afternoon,434060.23,4583996.0,2.21110724940702,41.4048042280251,2020-02-27 18:00:00
2020S001182    ,Sant Martí,el Parc i la Llacuna del Poblenou,Glòries Catalanes,Sunday,2020,2,February,16,17,Changing lanes without caution,Afternoon,432042.0,4583976.74,2.18696593271468,41.404462683959,2020-02-16 17:00:00
